Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
Primitives/Primitives,0,0,0,0,35,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CCC_0/Primitives,0,0,0,0,0,0,1,2,0,0,0
SF2_MSS_sys_sb_0/COREI2C_0/G0a.0.ui2c/Primitives,354,111,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/COREI2C_0/Primitives,5,8,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORERESETP_0/Primitives,2,9,0,0,0,0,0,1,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/Primitives,27,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/UCC/Primitives,149,120,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/UCON/Primitives,9,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/URF/Primitives,53,35,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/URXF/Primitives,37,18,36,36,0,1,0,0,0,0,0
SF2_MSS_sys_sb_0/CORESPI_0/USPI/UTXF/Primitives,49,18,36,36,0,1,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreAPB3_0/Primitives,7,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreAPB3_0/u_mux_p_to_b3/Primitives,40,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreGPIO_0/Primitives,122,45,36,36,0,1,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/Primitives,40,24,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/Primitives,25,24,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/UG06a.tx_fifo_xhdl79/fifo_ctrl_256_xhdl9/Primitives,19,21,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/UG06a_tx_fifo_xhdl79/fifo_ctrl_256_xhdl9/ram16x8_xhdl12/Primitives,0,0,36,36,0,1,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/UG07.rx_fifo_xhdl80/fifo_ctrl_256_xhdl9/Primitives,19,21,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/UG07_rx_fifo_xhdl80/fifo_ctrl_256_xhdl9/ram16x8_xhdl12/Primitives,0,0,36,36,0,1,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/make_RX/Primitives,73,39,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/make_SF2_MSS_sys_sb_CoreUARTapb_0_Clock_gen/Primitives,24,19,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/CoreUARTapb_0/uUART/make_TX/Primitives,27,23,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,1
SF2_MSS_sys_sb_0/IO_0/Primitives,0,0,0,0,1,0,0,0,0,0,0
SF2_MSS_sys_sb_0/IO_1/Primitives,0,0,0,0,1,0,0,0,0,0,0
SF2_MSS_sys_sb_0/Primitives,3,0,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/SF2_MSS_sys_sb_MSS_0/Primitives,8,0,0,0,0,0,0,0,1,0,0
SF2_MSS_sys_sb_0/corepwm_0_0/G0b.timebase_inst/Primitives,108,32,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/corepwm_0_0/Primitives,2,8,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/corepwm_0_0/xhdl58.reg_if_inst/Primitives,295,329,0,0,0,0,0,0,0,0,0
SF2_MSS_sys_sb_0/corepwm_0_0/xhdl63.pwm_gen_inst/Primitives,240,8,0,0,0,0,0,0,0,0,0
